id,rank,title_cn,title_en,rating,rating_count,director,actors,summary,detail_url,release_year,duration,genres,imdb_rating,poster_path,created_at,genres_list
1,1,肖申克的救赎,/ The Shawshank Redemption,9.7,3279354,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /...,,https://movie.douban.com/subject/1292052/,1994,142分钟,剧情/犯罪,,,2026-04-22 14:23:26,"['剧情', '犯罪']"
2,2,霸王别姬,/ 再见，我的妾  /  Farewell My Concubine,9.6,2419197,陈凯歌 Kaige Chen,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,,https://movie.douban.com/subject/1291546/,1993,171分钟,剧情/爱情/同性,,,2026-04-22 14:23:26,"['剧情', '爱情', '同性']"
3,3,泰坦尼克号,/ Titanic,9.5,2494316,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo...,,https://movie.douban.com/subject/1292722/,1997,194分钟,剧情/爱情/灾难,,,2026-04-22 14:23:26,"['剧情', '爱情', '灾难']"
4,4,阿甘正传,/ Forrest Gump,9.5,2426823,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks / ...,,https://movie.douban.com/subject/1292720/,1994,142分钟,剧情/爱情,,,2026-04-22 14:23:26,"['剧情', '爱情']"
5,5,千与千寻,/ 千と千尋の神隠し,9.4,2532842,宫崎骏 Hayao Miyazaki,柊瑠美 Rumi Hîragi / 入野自由 Miy...,,https://movie.douban.com/subject/1291561/,2001,125分钟,剧情/动画/奇幻,,,2026-04-22 14:23:26,"['剧情', '动画', '奇幻']"
6,6,美丽人生,/ La vita è bella,9.5,1480160,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼 Roberto Beni...,,https://movie.douban.com/subject/1292063/,1997,116分钟(国际版),剧情/喜剧/爱情/战争,,,2026-04-22 14:23:26,"['剧情', '喜剧', '爱情', '战争']"
7,7,星际穿越,/ Interstellar,9.4,2178661,克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳 Matthew Mc...,,https://movie.douban.com/subject/1889243/,2014,169分钟,剧情/科幻/冒险,,,2026-04-22 14:23:26,"['剧情', '科幻', '冒险']"
8,8,这个杀手不太冷,/ Léon,9.4,2549023,吕克·贝松 Luc Besson,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,,https://movie.douban.com/subject/1295644/,1994,133分钟(中国大陆),剧情/动作/犯罪,,,2026-04-22 14:23:26,"['剧情', '动作', '犯罪']"
9,9,盗梦空间,/ Inception,9.4,2321951,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥 Le...,,https://movie.douban.com/subject/3541415/,2010,148分钟,剧情/科幻/悬疑/冒险,,,2026-04-22 14:23:26,"['剧情', '科幻', '悬疑', '冒险']"
10,10,楚门的世界,/ The Truman Show,9.4,2015047,彼得·威尔 Peter Weir,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,,https://movie.douban.com/subject/1292064/,1998,103分钟,剧情/科幻,,,2026-04-22 14:23:26,"['剧情', '科幻']"
11,11,辛德勒的名单,/ Schindler's List,9.5,1245500,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森 Liam Neeson...,,https://movie.douban.com/subject/1295124/,1993,195分钟,剧情/历史/战争,,,2026-04-22 14:23:26,"['剧情', '历史', '战争']"
12,12,忠犬八公的故事,/ Hachi: A Dog's Tale,9.4,1541217,莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔 Richard Ger...,,https://movie.douban.com/subject/3011091/,2009,93分钟,剧情,,,2026-04-22 14:23:26,['剧情']
13,13,海上钢琴师,/ La leggenda del pianista sull'oceano,9.3,1876928,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯 Tim Roth / ...,,https://movie.douban.com/subject/1292001/,1998,120分钟(国际版),剧情/音乐,,,2026-04-22 14:23:26,"['剧情', '音乐']"
14,14,疯狂动物城,/ Zootopia,9.3,2315391,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,,https://movie.douban.com/subject/25662329/,2016,109分钟(中国大陆),喜剧/动画/冒险,,,2026-04-22 14:23:26,"['喜剧', '动画', '冒险']"
15,15,三傻大闹宝莱坞,/ 3 Idiots,9.2,2075538,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗 Aamir Khan / 卡...,,https://movie.douban.com/subject/3793023/,2009,171分钟(印度),剧情/喜剧/爱情/歌舞,,,2026-04-22 14:23:26,"['剧情', '喜剧', '爱情', '歌舞']"
16,16,机器人总动员,/ WALL·E,9.3,1490326,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特 Ben Burtt / 艾丽...,,https://movie.douban.com/subject/2131459/,2008,98分钟,科幻/动画/冒险,,,2026-04-22 14:23:26,"['科幻', '动画', '冒险']"
17,17,放牛班的春天,/ Les choristes,9.3,1471656,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼...,,https://movie.douban.com/subject/1291549/,2004,97分钟,剧情/音乐,,,2026-04-22 14:23:26,"['剧情', '音乐']"
18,18,无间道,/ 無間道,9.3,1562209,刘伟强 / 麦兆辉,刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,,https://movie.douban.com/subject/1307914/,2002,101分钟,剧情/惊悚/犯罪,,,2026-04-22 14:23:26,"['剧情', '惊悚', '犯罪']"
19,19,控方证人,/ Witness for the Prosecution,9.6,741228,比利·怀尔德 Billy Wilder,泰隆·鲍华 Tyrone Power / 玛琳·...,,https://movie.douban.com/subject/1296141/,1957,116分钟,剧情/悬疑/惊悚/犯罪,,,2026-04-22 14:23:26,"['剧情', '悬疑', '惊悚', '犯罪']"
20,20,寻梦环游记,/ Coco,9.1,1985191,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,,https://movie.douban.com/subject/20495023/,2017,105分钟,喜剧/动画/音乐/奇幻,,,2026-04-22 14:23:26,"['喜剧', '动画', '音乐', '奇幻']"
21,21,大话西游之大圣娶亲,/ 西遊記大結局之仙履奇緣,9.2,1707389,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,,https://movie.douban.com/subject/1292213/,1995,95分钟,喜剧/爱情/奇幻/古装,,,2026-04-22 14:23:26,"['喜剧', '爱情', '奇幻', '古装']"
22,22,熔炉,/ 도가니,9.3,1034952,黄东赫 Dong-hyuk Hwang,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,,https://movie.douban.com/subject/5912992/,2011,125分钟,剧情,,,2026-04-22 14:23:26,['剧情']
23,23,触不可及,/ Intouchables,9.3,1293812,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,,,https://movie.douban.com/subject/6786002/,2011,112分钟,剧情/喜剧,,,2026-04-22 14:23:26,"['剧情', '喜剧']"
24,24,教父,/ The Godfather,9.3,1105545,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M...,,https://movie.douban.com/subject/1291841/,1972,175 分钟,剧情/犯罪,,,2026-04-22 14:23:26,"['剧情', '犯罪']"
25,25,末代皇帝,/ The Last Emperor,9.3,1027441,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone / 陈...,,https://movie.douban.com/subject/1293172/,1987,163分钟,剧情/传记/历史,,,2026-04-22 14:23:26,"['剧情', '传记', '历史']"
