rank,title_cn,title_en,rating,rating_count,director,actors,summary,detail_url,release_year,duration,genres,imdb_rating,poster_path
1,肖申克的救赎,/ The Shawshank Redemption,9.7,3286595,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /...,希望让人自由。,https://movie.douban.com/subject/1292052/,1994,142分钟,剧情/犯罪,,
2,霸王别姬,/ 再见，我的妾  /  Farewell My Concubine,9.6,2424885,陈凯歌 Kaige Chen,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,风华绝代。,https://movie.douban.com/subject/1291546/,1993,171分钟,剧情/爱情/同性,,
3,泰坦尼克号,/ Titanic,9.5,2500178,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo...,失去的才是永恒的。,https://movie.douban.com/subject/1292722/,1997,194分钟,剧情/爱情/灾难,,
4,阿甘正传,/ Forrest Gump,9.5,2431790,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks / ...,一部美国近现代史。,https://movie.douban.com/subject/1292720/,1994,142分钟,剧情/爱情,,
5,千与千寻,/ 千と千尋の神隠し,9.4,2538639,宫崎骏 Hayao Miyazaki,柊瑠美 Rumi Hîragi / 入野自由 Miy...,最好的宫崎骏，最好的久石让。,https://movie.douban.com/subject/1291561/,2001,125分钟,剧情/动画/奇幻,,
6,美丽人生,/ La vita è bella,9.5,1483195,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼 Roberto Beni...,最美的谎言。,https://movie.douban.com/subject/1292063/,1997,116分钟(国际版),剧情/喜剧/爱情/战争,,
7,星际穿越,/ Interstellar,9.4,2185644,克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳 Matthew Mc...,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/,2014,169分钟,剧情/科幻/冒险,,
8,这个杀手不太冷,/ Léon,9.4,2553613,吕克·贝松 Luc Besson,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/,1994,,,,
9,盗梦空间,/ Inception,9.4,2326917,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥 Le...,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/,2010,,,,
10,楚门的世界,/ The Truman Show,9.4,2020905,彼得·威尔 Peter Weir,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/,1998,,,,
11,辛德勒的名单,/ Schindler's List,9.5,1247914,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森 Liam Neeson...,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/,1993,,,,
